epoch,step,train_loss,test_loss
3,14000,0.3378,
3,14250,0.2965,
3,14500,0.3434,
3,14750,0.3195,
3,15000,0.255,
3,15250,0.3477,
3,15500,0.3621,
3,15750,0.3277,
3,16000,0.2874,
3,16250,0.2852,
3,16500,0.3204,
3,16750,0.4345,
3,17000,0.225,
3,17250,0.3252,
3,17500,0.2653,
3,17750,0.2287,
3,18000,0.2637,
3,18250,0.2828,
3,18500,0.3073,
3,18750,0.3887,
3,19000,0.2788,
3,19250,0.3416,
3,19500,0.2903,
3,19750,0.367,
3,20000,0.3127,
3,20250,0.2203,
3,20500,0.3454,
3,20750,0.1651,
3,21000,0.2767,
3,21250,0.2908,
3,21500,0.4175,
3,21750,0.2597,
3,22000,0.4145,
3,22250,0.192,
3,22500,0.3208,
3,22750,0.2238,
3,23000,0.3703,
3,23250,0.2441,
3,23500,0.3933,
3,23750,0.5305,
3,24000,0.4434,
3,24250,0.1882,
3,24500,0.425,
3,24750,0.2622,
3,25000,0.398,
4,250,0.2548,
4,500,0.2476,
4,750,0.212,
4,1000,0.227,
4,1250,0.2963,
4,1500,0.3104,
4,1750,0.2552,
4,2000,0.2925,
4,2250,0.2538,
4,2500,0.193,
4,2750,0.2364,
4,3000,0.2327,
4,3250,0.281,
4,3500,0.2814,
4,3750,0.2996,
4,4000,0.3976,
4,4250,0.1648,
4,4500,0.2157,
4,4750,0.1763,
4,5000,0.2663,
4,5250,0.2464,
4,5500,0.3257,
4,5750,0.2195,
4,6000,0.2287,
4,6250,0.3019,
4,6500,0.253,
4,6750,0.2492,
4,7000,0.2122,
4,7250,0.3222,
4,7500,0.1754,
4,7750,0.2353,
4,8000,0.1957,
4,8250,0.2202,
4,8500,0.157,
4,8750,0.3174,
4,9000,0.2959,
4,9250,0.2899,
4,9500,0.1711,
4,9750,0.3217,
4,10000,0.2611,
4,10250,0.2126,
4,10500,0.2506,
4,10750,0.299,
4,11000,0.2967,
4,11250,0.2487,
4,11500,0.2212,
4,11750,0.3899,
4,12000,0.3782,
4,12250,0.3837,
4,12500,0.2643,
4,12750,0.3538,
4,13000,0.1948,
4,13250,0.4158,
4,13500,0.3332,
4,13750,0.274,
4,14000,0.3157,
4,14250,0.2075,
4,14500,0.3501,
4,14750,0.195,
4,15000,0.1953,
4,15250,0.2232,
4,15500,0.3895,
4,15750,0.3335,
4,16000,0.3459,
4,16250,0.191,
4,16500,0.3222,
4,16750,0.2635,
4,17000,0.221,
4,17250,0.3151,
4,17500,0.3068,
4,17750,0.1403,
4,18000,0.2082,
4,18250,0.2741,
4,18500,0.3141,
4,18750,0.4585,
4,19000,0.248,
4,19250,0.3621,
4,19500,0.2505,
4,19750,0.5073,
4,20000,0.3148,
4,20250,0.2902,
4,20500,0.2634,
4,20750,0.2693,
4,21000,0.2656,
4,21250,0.1994,
4,21500,0.2091,
4,21750,0.314,
4,22000,0.1376,
4,22250,0.2945,
4,22500,0.3157,
4,22750,0.227,
4,23000,0.1878,
4,23250,0.4635,
4,23500,0.2009,
4,23750,0.3715,
4,24000,0.3044,
4,24250,0.236,
4,24500,0.2431,
4,24750,0.2407,
4,25000,0.4361,
5,250,0.327,
5,500,0.25,
5,750,0.3127,
5,1000,0.308,
5,1250,0.1531,
5,1500,0.2248,
5,1750,0.254,
5,2000,0.1787,
5,2250,0.1861,
5,2500,0.265,
5,2750,0.1713,
5,3000,0.2467,
5,3250,0.221,
5,3500,0.2557,
5,3750,0.2361,
5,4000,0.3311,
5,4250,0.2352,
5,4500,0.2058,
